Discount,Shape,COLOR,CLARITY,CUT,POL,SYM,FLUO,Size,Month,Year,,,,,,
-37.0%,RO,M,VVS1,EX,EX,EX,Faint,1.01-1.09,June,2022,,,,,,
-38.0%,RO,D,VVS2,EX,EX,EX,Faint,1.01-1.09,June,2022,,,,,,
-40.0%,RO,E,VVS2,EX,EX,EX,Faint,1.01-1.09,June,2022,,,,,,
-38.0%,RO,F,VVS2,EX,EX,EX,Faint,1.01-1.09,June,2022,,,,,,
-34.0%,RO,G,VVS2,EX,EX,EX,Faint,1.01-1.09,June,2022,,,,,,
-32.0%,RO,H,VVS2,EX,EX,EX,Faint,1.01-1.09,June,2022,,,,,,
-29.0%,RO,I,VVS2,EX,EX,EX,Faint,1.01-1.09,June,2022,,,,,,
-32.0%,RO,J,VVS2,EX,EX,EX,Faint,1.01-1.09,June,2022,,,,,,
-30.0%,RO,K,VVS2,EX,EX,EX,Faint,1.01-1.09,June,2022,,,,,,
-32.0%,RO,L,VVS2,EX,EX,EX,Faint,1.01-1.09,June,2022,,,,,,
-37.0%,RO,M,VVS2,EX,EX,EX,Faint,1.01-1.09,June,2022,,,,,,
-38.0%,RO,D,VS1,EX,EX,EX,Faint,1.01-1.09,June,2022,,,,,,
-39.0%,RO,E,VS1,EX,EX,EX,Faint,1.01-1.09,June,2022,,,,,,
-39.0%,RO,F,VS1,EX,EX,EX,Faint,1.01-1.09,June,2022,,,,,,
-34.0%,RO,G,VS1,EX,EX,EX,Faint,1.01-1.09,June,2022,,,,,,
-34.0%,RO,H,VS1,EX,EX,EX,Faint,1.01-1.09,June,2022,,,,,,
-30.0%,RO,I,VS1,EX,EX,EX,Faint,1.01-1.09,June,2022,,,,,,
-30.0%,RO,J,VS1,EX,EX,EX,Faint,1.01-1.09,June,2022,,,,,,
-30.0%,RO,K,VS1,EX,EX,EX,Faint,1.01-1.09,June,2022,,,,,,
-31.0%,RO,L,VS1,EX,EX,EX,Faint,1.01-1.09,June,2022,,,,,,
-38.0%,RO,M,VS1,EX,EX,EX,Faint,1.01-1.09,June,2022,,,,,,
-38.0%,RO,D,VS2,EX,EX,EX,Faint,1.01-1.09,June,2022,,,,,,
-36.0%,RO,E,VS2,EX,EX,EX,Faint,1.01-1.09,June,2022,,,,,,
-35.0%,RO,F,VS2,EX,EX,EX,Faint,1.01-1.09,June,2022,,,,,,
-36.0%,RO,G,VS2,EX,EX,EX,Faint,1.01-1.09,June,2022,,,,,,
-31.0%,RO,H,VS2,EX,EX,EX,Faint,1.01-1.09,June,2022,,,,,,
-33.0%,RO,I,VS2,EX,EX,EX,Faint,1.01-1.09,June,2022,,,,,,
-31.0%,RO,J,VS2,EX,EX,EX,Faint,1.01-1.09,June,2022,,,,,,
-32.0%,RO,K,VS2,EX,EX,EX,Faint,1.01-1.09,June,2022,,,,,,
-30.0%,RO,L,VS2,EX,EX,EX,Faint,1.01-1.09,June,2022,,,,,,
-35.0%,RO,M,VS2,EX,EX,EX,Faint,1.01-1.09,June,2022,,,,,,
-36.0%,RO,D,SI1,EX,EX,EX,Faint,1.01-1.09,June,2022,,,,,,
-35.0%,RO,E,SI1,EX,EX,EX,Faint,1.01-1.09,June,2022,,,,,,
