C_DISC,CERT,SHAPE,PCS,WEIGHT,COLOR,CLARITY,CUT,POL,SY,FLUO,FLUO_COLOR,FANCY_COLOR,FANCY_INTENSITY,FANCY_OVERTONE,TD,TABL,MIN_DIAM,MAX_DIAM,HEIGHT,RATIO,COL_SHADE,MILKY,TABLE_BLACK,SIDE_BLACK,WHT_INC,KEY_TO_SYMBOL,CERT_COMMENTS,CR_ANGLE,CR_HEIGHT,PV_ANGLE,PV_DEPTH,GIRDLE_PERCENTAGE,GIRDLE_CONDITION,STAR_LENGTH,LOWER_HALF,CULET,EYE_CLEAN,TABLE_CLEAN,HA,CERT_TYPE,CERT_DATE,REF_DAYS,INTERNAL_COLOR,INTERNAL_CLARITY,OPEN,NATURAL,INTENDED_NATURAL,CAVITY,CHIP,EXTRA_FACET,GRAINING,CUT_COMMENTS,AM,PCR,FMTS,C1T,DEMAND_STATUS,ASSORT_DATE,,COUNTRY_OF_ORIGIN_MINE_ORIGIN,MINING_CO_NAME,MINING_CO_DESCRIPTION,SOURCE_CO,SOURCE_COUNTRY,SOURCE_MINE,, Inv_Date, Inv_Party, Inv_By , Inv_Term
-33,2,6,1,0.3,6,3,1,1,1,3,2,10,2,2,61.9,56,4.3,4.32,,1.005,4,4,4,5,1,"Needle, Pinpoint, Cloud",,35.5,15.5,40.8,43,3.5,2,,,2,,,1,1,26-03-2022,69,6,3,1,3,5,4,3,3,4,3,,,2,,,26-03-2022,,,,,,BOTSWANA;SOUTH AFRICA;CANADA;NAMIBIA,AGGREGATE,,02-06-2022,MBMG Diamonds Pvt. Ltd.,MBMG Diamonds Pvt. Ltd.,30
-33.04,4,6,1,0.3,8,4,1,1,1,3,2,10,2,2,62.9,55.1,4.25,4.27,,1.005,4,4,4,5,1,"Cloud, Crystal",,35,16.4,40.8,42.7,3.8,2,,,,,,1,,23-03-2022,78,8,5,1,3,5,4,3,3,4,3,,1,1,,,23-03-2022,,,,,,RUSSIAN FEDERATION,ANABAR,,08-06-2022,Diarough N. V.,Diarough Sourcing S. A.,90
-29.42,4,6,1,0.3,7,2,1,1,1,3,2,10,2,2,62.1,56.7,4.27,4.29,,1.005,4,4,4,5,1,"Cloud, Feather",,35,15.2,40.9,42.5,4.4,2,,,,,,1,,23-03-2022,78,7,2,1,3,5,4,3,3,4,3,,1,1,,,23-03-2022,,,,,,AGGREGATE,UNKNOWN,,08-06-2022,Diarough N. V.,Diarough Sourcing S. A.,90
-30,4,6,1,0.3,6,3,1,1,1,3,2,10,2,2,62.2,55.5,4.25,4.27,,1.005,4,4,4,5,1,"Feather, Needle, Pinpoint",,34.8,15.7,40.8,42.7,3.8,2,,,,,,1,,23-03-2022,78,6,3,1,3,5,4,3,3,4,3,,1,1,,,23-03-2022,,,,,,RUSSIAN FEDERATION,ANABAR,,08-06-2022,Diarough N. V.,Diarough Sourcing S. A.,90
-31.88,4,6,1,0.3,6,2,3,1,1,3,2,10,2,2,63,53.9,4.23,4.25,,1.005,4,4,4,5,1,"Cloud, Feather",,34.8,16.5,40.9,42.5,4,2,,,,,,1,,23-03-2022,78,6,2,1,3,5,4,3,3,4,3,,1,1,,,23-03-2022,,,,,,RUSSIAN FEDERATION,ANABAR,,08-06-2022,Diarough N. V.,Diarough Sourcing S. A.,90
-32.92,4,6,1,0.3,8,4,1,1,3,1,2,10,2,2,62.2,56.6,4.22,4.25,,1.007,4,4,4,5,1,"Cloud, Crystal, Natural, Needle",,34.9,15.6,40.8,42.8,3.8,2,,,,,,1,,23-03-2022,78,8,4,1,3,5,4,3,3,4,3,,1,1,,,23-03-2022,,,,,,RUSSIAN FEDERATION,ANABAR,,08-06-2022,Diarough N. V.,Diarough Sourcing S. A.,90
-29.79,4,6,1,0.3,6,2,1,1,1,3,2,10,2,2,60.9,60.3,4.26,4.28,,1.005,4,4,4,5,1,"Cloud, Feather, Natural",,34.9,14.1,40.8,42.6,4.2,2,,,,,,1,,23-03-2022,78,6,2,1,3,5,4,3,3,4,3,,1,1,,,23-03-2022,,,,,,AGGREGATE,UNKNOWN,,08-06-2022,Diarough N. V.,Diarough Sourcing S. A.,90
-30.24,4,6,1,0.3,5,4,1,1,1,3,2,10,2,2,61.6,59,4.24,4.26,,1.005,4,4,4,5,1,"Cloud, Crystal, Feather, Pinpoint",,34.9,14.6,40.9,42.8,4.2,2,,,,,,1,,23-03-2022,78,5,4,1,3,5,4,3,3,4,3,,1,1,,,23-03-2022,,,,,,AGGREGATE,UNKNOWN,,08-06-2022,Diarough N. V.,Diarough Sourcing S. A.,90
-30,4,6,1,0.3,6,3,1,1,1,3,2,10,2,2,62.4,55.4,4.26,4.29,,1.007,4,4,4,5,1,"Feather, Pinpoint",,34.9,15.7,40.9,42.5,4.2,2,,,,,,1,,23-03-2022,78,6,3,1,3,5,4,3,3,4,3,,1,1,,,23-03-2022,,,,,,RUSSIAN FEDERATION,ANABAR,,08-06-2022,Diarough N. V.,Diarough Sourcing S. A.,90
-31.88,4,6,1,0.3,7,3,3,1,1,3,2,10,2,2,63.4,53.8,4.22,4.25,,1.007,4,4,4,5,1,"Cloud, Feather, Pinpoint",,34.7,16.1,40.9,42.8,4.5,2,,,,,,1,,23-03-2022,78,7,3,1,3,5,4,3,3,4,3,,1,1,,,23-03-2022,,,,,,AGGREGATE,UNKNOWN,,08-06-2022,Diarough N. V.,Diarough Sourcing S. A.,90
-30,4,6,1,0.3,6,3,1,1,1,3,2,10,2,2,62.4,54.1,4.27,4.29,,1.005,4,4,4,5,1,"Cloud, Feather",,34.8,16.8,40.8,42.5,3.1,2,,,,,,1,,23-03-2022,78,6,3,1,3,5,4,3,3,4,3,,1,1,,,23-03-2022,,,,,,AGGREGATE,UNKNOWN,,08-06-2022,Diarough N. V.,Diarough Sourcing S. A.,90
-51,3,6,1,0.3,5,7,3,1,3,1,1,10,2,2,64.2,57,4.17,4.2,2.69,1.007,4,4,4,4,2,"Crystal, Feather",,38.5,17,40.2,42,5,2,55,75,2,1,1,1,1,10-03-2022,91,5,7,4,1,5,4,3,3,5,3,,,2,,,10-03-2022,,,,,,BOTSWANA;SOUTH AFRICA;CANADA;NAMIBIA,AGGREGATE,,08-06-2022,Chinastar Trade (Hong Kong) Limited,Chinastar Trade (Hong Kong) Limited,0
-36.36,1,6,1,0.3,8,2,1,1,1,3,2,10,2,2,62,57,4.27,4.31,,1.009,4,4,4,5,1,,,34.5,15,40.8,43,4,2,,,2,,,,,14-03-2022,86,8,2,1,3,5,4,3,3,4,3,,,2,,,14-03-2022,,,,,,BOTSWANA;SOUTH AFRICA;CANADA;NAMIBIA,AGGREGATE,,06-06-2022,Caratlane Trading Pvt. Ltd.,Caratlane Trading Pvt. Ltd.,7
-48,3,6,1,0.3,8,6,3,1,1,3,2,10,2,2,64.4,58,4.19,4.21,2.7,1.005,4,4,4,5,1,Cloud,,37,16,41.2,43.5,5,2,50,75,2,,,1,1,15-03-2022,83,8,6,1,3,5,4,3,3,4,3,2,1,2,1,,15-03-2022,,,,,,"BOTSWANA,SOUTH AFRICA,CANADA,NAMIBIA",AGGREGATE,,03-06-2022,Sun Rays,Sun Rays,30
-62,3,6,1,0.3,8,6,3,1,3,3,2,11,1,1,64.4,59,4.18,4.22,2.71,1.01,4,1,2,5,8,"Cloud, Crystal",-,36,15,41.8,44.5,5,1,50,75,2,1,1,1,1,10-05-2022,30,8,6,1,1,5,4,3,3,4,1,2,1,2,1,2,10-05-2022,,AGGREGATE,DTC-DBGSS,UNKNOWN,DTC,"BOTSWANA,SOUTH AFRICA,CANADA,NAMIBIA",AGGREGATE,,08-06-2022,Sheel Gems,Sheel Gems,75
-61,3,6,1,0.3,6,6,3,1,3,1,2,11,1,1,63.3,55,4.24,4.28,2.7,1.009,4,1,4,5,8,Cloud,-,33,14.5,41.6,44.5,4.5,1,45,75,2,1,1,1,1,11-05-2022,29,6,6,1,3,5,4,3,3,5,1,2,1,2,1,2,11-05-2022,,AGGREGATE,DTC-DBGSS,UNKNOWN,DTC,"BOTSWANA,SOUTH AFRICA,CANADA,NAMIBIA",AGGREGATE,,08-06-2022,Sheel Gems,Sheel Gems,75
-58,3,6,1,0.3,8,7,1,1,1,3,2,11,1,1,61.7,60,4.29,4.32,2.66,1.007,4,1,1,5,8,"Cloud, Feather",-,34,13.5,41.4,44,4.5,1,50,80,2,1,1,1,1,10-05-2022,30,8,7,4,1,5,4,3,3,4,1,2,1,2,1,2,10-05-2022,,AGGREGATE,DTC-DBGSS,UNKNOWN,DTC,"BOTSWANA,SOUTH AFRICA,CANADA,NAMIBIA",AGGREGATE,,08-06-2022,Sheel Gems,Sheel Gems,75
-61,3,6,1,0.3,9,7,1,1,3,3,2,11,1,1,62.1,58,4.27,4.3,2.66,1.007,4,1,4,5,8,Cloud,-,36,15.5,40.6,43,4,1,50,80,2,1,1,1,1,10-05-2022,30,9,7,1,1,5,4,3,3,4,1,2,1,2,1,2,10-05-2022,,AGGREGATE,DTC-DBGSS,UNKNOWN,DTC,"BOTSWANA,SOUTH AFRICA,CANADA,NAMIBIA",AGGREGATE,,08-06-2022,Sheel Gems,Sheel Gems,75
-54,3,6,1,0.3,8,6,1,1,1,3,2,11,1,1,62.3,59,4.27,4.3,2.67,1.007,4,1,4,5,8,"Cloud, Twinning Wisp",-,35.5,14.5,41.2,43.5,4,1,50,80,2,1,1,1,1,10-05-2022,30,8,6,1,3,5,4,3,3,4,1,2,1,2,1,2,10-05-2022,,AGGREGATE,DTC-DBGSS,UNKNOWN,DTC,"BOTSWANA,SOUTH AFRICA,CANADA,NAMIBIA",AGGREGATE,,08-06-2022,Sheel Gems,Sheel Gems,75
-38,2,6,1,0.3,8,4,1,3,1,3,2,10,2,2,63.3,56,4.23,4.27,,1.009,4,4,4,5,1,Cloud,,36.5,16.5,41,43.5,3.5,2,,,2,,,1,1,26-03-2022,75,8,4,1,3,5,4,3,3,4,3,,,2,,,26-03-2022,,,,,,BOTSWANA;SOUTH AFRICA;CANADA;NAMIBIA,AGGREGATE,,08-06-2022,MBMG Diamonds Pvt. Ltd.,MBMG Diamonds Pvt. Ltd.,30
-33.88,1,6,1,0.3,7,3,1,1,1,3,2,10,2,2,61.6,56,4.31,4.33,,1.005,4,4,4,5,1,,,34.5,15,40.8,43,4,2,,,2,,,,,02-03-2022,98,7,3,1,3,5,4,3,3,4,3,,,2,,,02-03-2022,,,,,,BOTSWANA;SOUTH AFRICA;CANADA;NAMIBIA,AGGREGATE,,06-06-2022,Caratlane Trading Pvt. Ltd.,Caratlane Trading Pvt. Ltd.,7
-33.88,1,6,1,0.3,6,2,1,1,1,3,2,10,2,2,61.2,57,4.33,4.35,,1.005,4,4,4,5,1,,,34,14.5,40.8,43,3.5,2,,,2,,,,,02-03-2022,98,6,2,1,3,5,4,3,3,4,3,,,2,,,02-03-2022,,,,,,BOTSWANA;SOUTH AFRICA;CANADA;NAMIBIA,AGGREGATE,,06-06-2022,Caratlane Trading Pvt. Ltd.,Caratlane Trading Pvt. Ltd.,7
-56,3,6,1,0.3,8,7,1,1,1,3,2,11,1,1,60.7,60,4.31,4.33,2.62,1.005,4,1,4,5,8,Cloud,-,34.5,14,41,43,3.5,1,55,80,2,1,1,1,1,10-05-2022,30,8,7,1,1,5,4,3,3,4,1,2,1,2,1,2,10-05-2022,,AGGREGATE,DTC-DBGSS,UNKNOWN,DTC,"BOTSWANA,SOUTH AFRICA,CANADA,NAMIBIA",AGGREGATE,,08-06-2022,Sheel Gems,Sheel Gems,75
-37,1,6,1,0.3,7,7,3,3,3,3,2,10,2,2,60.6,60,4.31,4.33,2.61,1.005,4,4,4,5,1,,,35.5,14.5,40.4,42.5,4,2,,,2,,,,,04-03-2022,96,7,7,1,3,5,4,3,3,4,3,2,1,2,1,,04-03-2022,,,,,,BOTSWANA;SOUTH AFRICA;CANADA;NAMIBIA,AGGREGATE,,07-06-2022,Titan Company Limited,Titan Company Limited,30
-33.88,1,6,1,0.3,6,2,1,1,1,3,2,10,2,2,61.6,56,4.31,4.33,,1.005,4,4,4,5,1,,,34.5,15,40.8,43,3.5,2,,,2,,,,,03-03-2022,97,6,2,1,3,5,4,3,3,4,3,,,2,,,03-03-2022,,,,,,BOTSWANA;SOUTH AFRICA;CANADA;NAMIBIA,AGGREGATE,,06-06-2022,Caratlane Trading Pvt. Ltd.,Caratlane Trading Pvt. Ltd.,7
