SIZE,CL,CO,CU PR,chg%,RANK 3x non,S% 3EX,MFG 3EX,Pur PR 3X NON,SA PR 3X,SA DAY 3EX,CL ST PR 3X,CL DAY 3EX,Rap FR 3X,Rap TO 3X,Fast Mid,Moderate Mid,Slow Mid,CHG in rap qty,CHG in mid rap,HK,JB,Kiran,LAXMI,RATNKALA ,LAKHI,RAYS,CO DIFF,CL DIFF
,VS1,H,#REF!, ,60,0%,7,, , , ,89,-35,-44,-38,,, ,,-34.00285714,-35.75,,,,-36,0,,
,VS2,H,#REF!, ,62,0%,4,, , , ,40,-35,-45,-37,,, ,,-32.52769231,-32.7625,,,,-36,0,,
,SI1,H,#REF!, ,56,0%,12,, , , ,165,-37,-42,-40,,, ,,-42.01111111,-34.2469697,,,,0,-40,,
,SI2,H,#REF!, ,66, ,16,, , , , ,-37,-46,-38,,, ,,-37.37333333,-35.57768362,,,,0,0,,
,IF,I,#REF!, ,28, ,0,, , , , ,-31,-49,-38,,, ,,0,-32.54545455,,,,0,-39,,
,VVS1,I,#REF!, ,41,33%,0,, ,167, ,70,-38,-47,-41,,, ,,-38.185,-33,,,,-41.5,-44,,
,VVS2,I,#REF!, ,42,0%,10,, , , ,52,-36,-47,-40,,, ,,-35.082,-30.17307692,,,,-39,-36,,
,VS1,I,#REF!, ,41,0%,6,, , , ,122,-34,-43,-37,,, ,,-33.196,-29.88888889,,,,-34,-39,,
,VS2,I,#REF!, ,65,17%,3,, ,203, ,58,-32,-47,-37,,, ,,-37.1675,-32.06451613,,,,-37,0,,
,SI1,I,#REF!, ,61, ,5,, , , , ,-37,-52,-39,,, ,,-37.41555556,-33.70798319,,,,-48,-41,,
,SI2,I,#REF!, ,50,0%,7,, , , ,30,-37,-52,-39,,, ,,-38.478,-35.85110294,,,,0,0,,
,IF,J,#REF!, ,43, ,0,, , , , ,-27,-42,-38,,, ,,0,-30.125,,,,0,-38,,
,VVS1,J,#REF!, ,49,9%,0,, ,65, ,51,-34,-46,-38,,, ,,-44.24,-32.36956522,,,,-42,-36,,
,VVS2,J,#REF!, ,54,0%,3,, , ,-49,80,-34,-44,-38.5,,, ,,-32.3475,-32.73214286,,,,0,-36,,
,VS1,J,#REF!, ,49,0%,0,, , , ,12,-33,-46,-37,,, ,,-30.27333333,-31.3125,,,,-35.75,0,,
,VS2,J,#REF!, ,57, ,1,, , , , ,-21,-42,-31,,, ,,-35.19,-31.29310345,,,,0,-40,,
,SI1,J,#REF!, ,63,0%,3,, , , ,68,-28,-53,-33.5,,, ,,-29.76,-37.98076923,,,,0,0,,
,SI2,J,#REF!, ,71,0%,2,, , , ,64,-33,-49,-35,,, ,,-37.71,-35.87244898,,,,0,-35,,
,IF,K,#REF!, ,42,0%,0,, , , ,45,-29,-44,-41,,, ,,0,-36.25,,,,0,-39,,
,VVS1,K,#REF!, ,35,0%,0,, , , ,70,-36,-50,-39,,, ,,0,-34.34090909,,,,-47,-38,,
,VVS2,K,#REF!, ,38,10%,2,, ,95, ,107,-20,-42,-34,,, ,,0,0,,,,-36,0,,
,VS1,K,#REF!, ,34,0%,1,, , ,-42,95,-23,-45,-32,,, ,,-31.89,-33.2,,,,-33.33333333,-34,,
,VS2,K,#REF!, ,43,0%,2,, , , ,12,-21,-45,-34,,, ,,-32.0275,-30.725,,,,0,0,,
,SI1,K,#REF!, ,63, ,2,, , , , ,-27,-45,-32,,, ,,-32.76,-36.3,,,,-34,0,,
,SI2,K,#REF!, ,76,0%,1,, , , ,82,-22,-43,-32,,, ,,0,-33.5,,,,0,-35,,
,IF,L,#REF!, ,44, ,0,, , , , ,-31,-39,-37,,, ,,0,0,,,,0,-40,,
,VVS1,L,#REF!, ,49,0%,0,, , , ,43,-28,-46,-36,,, ,,-42,-31.25,,,,-39.5,-42,,
,VVS2,L,#REF!, ,51,0%,0,, , , ,77,-26,-45,-29,,, ,,0,0,,,,-35,0,,
,VS1,L,#REF!, ,74,0%,3,, , , ,66,-27,-43,-35,,, ,,-30.59,0,,,,0,0,,
,VS2,L,#REF!, ,76,0%,1,, , , ,155,-27,-43,-30,,, ,,-30,-28.25,,,,0,0,,
,SI1,L,#REF!, ,75, ,0,, , , , ,-23,-43,-33,,, ,,0,-34.91666667,,,,-43,0,,
,SI2,L,#REF!, ,76, ,1,, , , , ,-9,-40,-32,,, ,,0,0,,,,0,0,,
,IF,M,#REF!, ,50, , ,, , , , ,-31,-37,-34,,, ,,0,0,,,,0,0,,
,VVS1,M,#REF!, ,56,0%, ,, , , ,102,-28,-56,-42,,, ,,0,0,,,,0,0,,
,VVS2,M,#REF!, ,60,0%, ,, , , ,123,-24,-50,-38,,, ,,0,0,,,,0,0,,
,VS1,M,#REF!, ,59,0%, ,, , , ,120,-26,-50,-35,,, ,,-41.79,0,,,,0,-45,,
,VS2,M,#REF!, ,56, , ,, , , , ,-27,-48,-41,,, ,,0,0,,,,0,0,,
,SI1,M,#REF!, ,53,0%, ,, , , ,139,-29,-55,-35,,, ,,0,0,,,,0,0,,
,SI2,M,#REF!, ,65, , ,, , , , ,-22,-45,-30.5,,, ,,0,0,,,,0,0,,
0.30-0.34 X STG,IF,D,#REF!, ,66, ,0,, , , , ,-38,-49,-45,,, ,,-44.53,-45.375,,,,-46,0,,
,VVS1,D,#REF!, ,47,0%,2,, , , ,7,-45,-53,-47,,, ,,-44.39,-44.83333333,,,,-45.11764706,0,,
,VVS2,D,#REF!, ,47,0%,15,, , , ,26,-43,-51,-47,,, ,,-44.814,-46.80555556,,,,-47.8,0,,
,VS1,D,#REF!, ,52,0%,10,, , , ,122,-45,-50,-47,,, ,,-45.95,-43.19047619,,,,-46.625,-48,,
,VS2,D,#REF!, ,70,0%,22,, , , ,98,-46,-50,-47,,, ,,-44.68,-42.86111111,,,,-47.33333333,-46,,
,SI1,D,#REF!, ,53,0%,32,, , , ,35,-46,-51,-46,,, ,,-50.07066667,-44.5,,,,-47,-46,,
,SI2,D,#REF!, ,47,0%,39,, , , ,201,-44,-54,-46,,, ,,-50.984,-48.5,,,,0,0,,
,IF,E,#REF!, ,21, ,0,, , , , ,-24,-50,-46,,, ,,-49.02,-45.75,,,,-47,-47,,
,VVS1,E,#REF!, ,24,0%,0,, , , ,18,-20,-52,-45,,, ,,-46.16,-43,,,,-44.66666667,0,,
,VVS2,E,#REF!, ,53,67%,4,, ,30, ,82,-36,-50,-46,,, ,,0,-45.3125,,,,-43.5,0,,
,VS1,E,#REF!, ,66,33%,8,, ,9, ,169,-32,-50,-45,,, ,,-43.3975,-42.61111111,,,,-45.25,-46,,
,VS2,E,#REF!, ,63,17%,19,, ,9, ,163,-37,-49,-44,,, ,,-46.65333333,-41.29166667,,,,-47,-43,,
,SI1,E,#REF!, ,58,0%,38,, , , ,82,-44,-53,-46,,, ,,-45.79833333,-43.26838235,,,,0,-45,,
,SI2,E,#REF!, ,54,0%,20,, , , ,321,-39,-57,-44,,, ,,-46.3725,-46.33333333,,,,0,-43,,
,IF,F,#REF!, ,27, ,0,, , , , ,-42,-48,-47,,, ,,0,-45.4375,,,,0,0,,
,VVS1,F,#REF!, ,30, ,1,, , , , ,-38,-48,-45,,, ,,-43,-42.75,,,,-45.5,0,,
,VVS2,F,#REF!, ,49,100%,8,, ,26, , ,-33,-48,-45,,, ,,0,-43.5,,,,-44.5,0,,
,VS1,F,#REF!, ,63, ,6,, , , , ,-35,-47,-43.5,,, ,,-42.85666667,-42.6875,,,,0,-44,,
,VS2,F,#REF!, ,62,0%,21,, , , ,204,-36,-48,-42,,, ,,-44.6975,-39.65625,,,,-44,0,,
,SI1,F,#REF!, ,55,0%,34,, , , ,67,-42,-50,-44.5,,, ,,-47.669,-41.97177419,,,,-43,-42,,
,SI2,F,#REF!, ,55, ,14,, , , , ,-34,-51,-40,,, ,,-50.965,-41.41666667,,,,0,-41,,
,IF,G,#REF!, ,43,33%,0,, ,68, ,116,-39,-49,-45,,, ,,0,-44.5,,,,0,0,,
,VVS1,G,#REF!, ,38,29%,0,, ,167, ,155,-34,-48,-45,,, ,,0,-43.625,,,,-31,0,,
,VVS2,G,#REF!, ,64,25%,2,, ,153, ,206,-35,-46,-43,,, ,,-40.91,-42.03571429,,,,0,0,,
,VS1,G,#REF!, ,63,29%,5,, ,38, ,63,-31,-47,-41,,, ,,-41.3475,-40.5,,,,-42,-41,,
,VS2,G,#REF!, ,62,5%,9,, ,116, ,67,-36,-45,-41,,, ,,-39.78333333,-38.578125,,,,-45,-40,,
,SI1,G,#REF!, ,59,0%,18,, , , ,86,-40,-48,-43,,, ,,-45.98,-39.59895833,,,,0,0,,
,SI2,G,#REF!, ,64,0%,15,, , , ,54,-30,-47,-40,,, ,,-45.86333333,-39.9375,,,,0,-41,,
,IF,H,#REF!, ,53,0%,0,, , , ,66,-40,-46,-43,,, ,,0,-45.25,,,,0,-43,,
,VVS1,H,#REF!, ,62,0%,1,, , , ,102,-32,-46,-42,,, ,,-41.445,-41.5,,,,0,-41,,
,VVS2,H,#REF!, ,64,67%,5,, ,152, ,156,-34,-44,-39.5,,, ,,-34.18666667,-41.75,,,,-42,-39,,
,VS1,H,#REF!, ,60,0%,7,, , , ,89,-32,-45,-38,,, ,,-35.97333333,-40.75,,,,-39.5,0,,
,VS2,H,#REF!, ,62,0%,4,, , , ,40,-31,-44,-37,,, ,,-39.69,-37.375,,,,0,-35,,
,SI1,H,#REF!, ,56,0%,12,, , , ,165,-36,-46,-39,,, ,,-39.2,-38.21875,,,,0,-36,,
,SI2,H,#REF!, ,66, ,16,, , , , ,-20,-46,-35.5,,, ,,-45.245,-39.55,,,,-36,0,,
,IF,I,#REF!, ,28, ,0,, , , , ,-34,-42,-40,,, ,,-37.37,0,,,,0,0,,
,VVS1,I,#REF!, ,41,33%,0,, ,167, ,70,-27,-47,-41,,, ,,-42.3,-37.78125,,,,-43,-40,,
,VVS2,I,#REF!, ,42,0%,10,, , , ,52,-34,-47,-38,,, ,,-33.915,-35.33333333,,,,0,-39,,
,VS1,I,#REF!, ,41,0%,6,, , , ,122,-25,-47,-39,,, ,,-39.12,-33.75,,,,-40.33333333,-38,,
,VS2,I,#REF!, ,65,17%,3,, ,203, ,58,-31,-47,-39,,, ,,0,-38.36363636,,,,-37,0,,
,SI1,I,#REF!, ,61, ,5,, , , , ,-29,-45,-37,,, ,,0,-39.05208333,,,,0,-38,,
,SI2,I,#REF!, ,50,0%,7,, , , ,30,-29,-50,-38,,, ,,-40.74,-42.25,,,,0,-38,,
,IF,J,#REF!, ,43, ,0,, , , , ,-34,-42,-39,,, ,,0,0,,,,-39,0,,
,VVS1,J,#REF!, ,49,9%,0,, ,65, ,51,-27,-46,-38,,, ,,0,-38,,,,-35.5,-39,,
,VVS2,J,#REF!, ,54,0%,3,, , , ,80,-28,-46,-37,,, ,,0,-37.5,,,,-35,0,,
,VS1,J,#REF!, ,49,0%,0,, , , ,12,-24,-44,-35,,, ,,-32.08,-33.5,,,,-39,-38,,
,VS2,J,#REF!, ,57, ,1,, , , , ,-22,-42,-33,,, ,,0,-34.58333333,,,,-33,0,,
,SI1,J,#REF!, ,63,0%,3,, , , ,68,-26,-44,-35,,, ,,-42.65,-39.525,,,,0,0,,
,SI2,J,#REF!, ,71,0%,2,, , , ,64,-28,-41,-34,,, ,,-31,-37.625,,,,0,-35,,
,IF,K,#REF!, ,42,0%,0,, , , ,45,-39,-53,-42,,, ,,0,0,,,,0,-39,,
,VVS1,K,#REF!, ,35,0%,0,, , , ,70,-31,-48,-41,,, ,,-43.24,0,,,,-46,-37,,
,VVS2,K,#REF!, ,38,10%,2,, ,95, ,107,-34,-48,-37,,, ,,-39.735,-41.25,,,,-38,-43,,
,VS1,K,#REF!, ,34,0%,1,, , , ,95,-28,-42,-33,,, ,,-30.59,0,,,,-35,0,,
,VS2,K,#REF!, ,43,0%,2,, , , ,12,-31,-49,-35,,, ,,-34.12,-33.75,,,,-41.5,0,,
,SI1,K,#REF!, ,63, ,2,, , , , ,-29,-40,-34,,, ,,0,0,,,,0,-37,,
,SI2,K,#REF!, ,76,0%,1,, , , ,82,-27,-38,-31,,, ,,-41.98,0,,,,0,0,,
,IF,L,#REF!, ,44, ,0,, , , , ,0,0,0,,, ,,0,0,,,,0,0,,
,VVS1,L,#REF!, ,49,0%,0,, , , ,43,-31,-48,-39,,, ,,0,0,,,,-44.5,0,,
,VVS2,L,#REF!, ,51,0%,0,, , , ,77,-34,-45,-36.5,,, ,,-41.525,0,,,,0,0,,
,VS1,L,#REF!, ,74,0%,3,, , , ,66,-27,-45,-37,,, ,,0,0,,,,-37,0,,
,VS2,L,#REF!, ,76,0%,1,, , , ,155,-31,-44,-36,,, ,,0,0,,,,0,0,,
,SI1,L,#REF!, ,75, ,0,, , , , ,-27,-46,-33,,, ,,0,0,,,,0,0,,
,SI2,L,#REF!, ,76, ,1,, , , , ,-24,-39,-30,,, ,,0,0,,,,0,0,,
,IF,M,#REF!, ,50, , ,, , , , ,0,0,0,,, ,,0,0,,,,0,0,,
,VVS1,M,#REF!, ,56,0%, ,, , , ,102,-37,-55,-39.5,,, ,,0,0,,,,0,0,,
,VVS2,M,#REF!, ,60,0%, ,, , , ,123,-35,-49,-42.5,,, ,,-45.04,0,,,,0,0,,
,VS1,M,#REF!, ,59,0%, ,, , , ,120,-34,-48,-40,,, ,,0,0,,,,0,0,,
,VS2,M,#REF!, ,56, , ,, , , , ,-32,-48,-38.5,,, ,,0,0,,,,0,0,,
,SI1,M,#REF!, ,53,0%, ,, , , ,139,-33,-41,-41,,, ,,0,0,,,,0,0,,
,SI2,M,#REF!, ,65, , ,, , , , ,-23,-40,-31,,, ,,0,0,,,,0,0,,
0.30-0.34 VG NON,IF,D,-52, ,66, ,0,, , , , ,-39,-49,-44.5,,, ,,-43,0,,,,0,0,,
,VVS1,D,-50, ,47,0%,2,, , ,-49,7,-23,-47,-43,,, ,,-41.1475,-44.22916667,,,,-43,0,,
,VVS2,D,-50, ,47,0%,15,, , ,-49,26,-32,-46,-43,,, ,,-42,-42.90789474,,,,-43,-43,,
,VS1,D,-46, ,52,0%,10,, , ,-45,122,-42,-46,-43,,, ,,-41.56142857,-40.98026316,,,,-44,0,,
,VS2,D,-49, ,70,0%,22,, , ,-49,98,-42,-46,-44,,, ,,-40.3,-40.82482993,,,,-44,-42,,
,SI1,D,-48, ,53,0%,32,, , ,-47,35,-42,-47,-43,,, ,,-40.88428571,-39.36145833,,,,-44,0,,
,SI2,D,-48, ,47,0%,39,, , ,-48,201,-42,-47,-42,,, ,,-42.32111111,-39.82407407,,,,0,-42,,
,IF,E,-47, ,21, ,0,, , , , ,-28,-48,-42,,, ,,0,0,,,,0,0,,
,VVS1,E,-46, ,24,0%,0,, , ,-49,18,-21,-44,-40,,, ,,0,-39.75,,,,-42,-25,,
,VVS2,E,-50, ,53,67%,4,, ,30,-52,82,-38,-45,-41,,, ,,0,-40.25,,,,-42,0,,
,VS1,E,-48, ,66,33%,8,, ,9,-50,169,-42,-45,-43,,, ,,-39.054,-38.79166667,,,,-43.6,0,,
,VS2,E,-50, ,63,17%,19,, ,9,-49,163,-43,-47,-43,,, ,,-40.92625,-39.9745509,,,,-44,-43,,
,SI1,E,-50, ,58,0%,38,, , ,-48,82,-44,-51,-46,,, ,,-42.3525,-40.48394004,,,,0,0,,
,SI2,E,-51, ,54,0%,20,, , ,-54,321,-42,-50,-44.5,,, ,,-44.092,-40.70357143,,,,0,0,,
,IF,F,-48, ,27, ,0,, , , , ,-36,-43,-41,,, ,,0,0,,,,0,0,,
,VVS1,F,-46, ,30, ,1,, , , , ,-14,-42,-40,,, ,,-42.68,-37.66666667,,,,-40.83333333,-33,,
,VVS2,F,-47, ,49,100%,8,, ,26, , ,-34,-43,-39,,, ,,-40.024,-38.875,,,,-39.66666667,0,,
,VS1,F,-47, ,63, ,6,, , , , ,-38,-44,-40,,, ,,-38.2875,-37.21428571,,,,-40,0,,
,VS2,F,-48, ,62,0%,21,, , ,-51,204,-40,-46,-41,,, ,,-38.03875,-37.45454545,,,,-41.57142857,0,,
,SI1,F,-48, ,55,0%,34,, , ,-48,67,-41,-49,-43,,, ,,-39.85714286,-39.29477612,,,,-41,0,,
,SI2,F,-50, ,55, ,14,, , , , ,-42,-50,-43.5,,, ,,-41.40733333,-39.404,,,,0,0,,
,IF,G,-49, ,43,33%,0,, ,68,-50,116,-34,-44,-41,,, ,,0,-37.5,,,,0,0,,
,VVS1,G,-46, ,38,29%,0,, ,167,-48,155,-31,-46,-39,,, ,,0,-38.4,,,,-40,0,,
,VVS2,G,-46, ,64,25%,2,, ,153,-48,206,-31,-44,-38.5,,, ,,-37.41,-36.98214286,,,,0,-40,,
,VS1,G,-44, ,63,29%,5,, ,38,-40,63,-34,-41,-37,,, ,,-36.248,-35.3,,,,-38.22222222,0,,
,VS2,G,-46, ,62,5%,9,, ,116,-41,67,-37,-42,-38,,, ,,-37.225,-35.59246575,,,,-39,-38,,
,SI1,G,-47, ,59,0%,18,, , ,-42,86,-38,-47,-41,,, ,,-36.38333333,-36.79197761,,,,0,0,,
,SI2,G,-47, ,64,0%,15,, , ,-37,54,-37,-48,-39,,, ,,-43.171,-36.33185841,,,,0,-39,,
,IF,H,-50, ,53,0%,0,, , ,-45,66,-28,-47,-40,,, ,,0,-37,,,,0,0,,
,VVS1,H,-48, ,62,0%,1,, , ,-46,102,-29,-42,-39.5,,, ,,-37.96,-34.6,,,,-39,-37,,
,VVS2,H,-47, ,64,67%,5,, ,152,-47,156,-27,-41,-35,,, ,,-36.7725,-35.75,,,,-37.6,-37,,
,VS1,H,-44, ,60,0%,7,, , ,-42,89,-28,-38,-33,,, ,,-30.07,-35.75,,,,-33.6,0,,
,VS2,H,-44, ,62,0%,4,, , ,-39,40,-28,-39,-32,,, ,,-29.28,-30.38888889,,,,-32.25,-30,,
,SI1,H,-45, ,56,0%,12,, , ,-44,165,-32,-43,-36,,, ,,-30.82166667,-35.01176471,,,,-32,-32,,
,SI2,H,-46, ,66, ,16,, , , , ,-33,-56,-35,,, ,,-36.32833333,-33.22368421,,,,0,-35,,
,IF,I,-47, ,28, ,0,, , , , ,-32,-42,-37,,, ,,0,-32.83333333,,,,0,0,,
,VVS1,I,-48, ,41,33%,0,, ,167,-46,70,-30,-44,-37,,, ,,0,-33.5,,,,0,0,,
,VVS2,I,-48, ,42,0%,10,, , ,-46,52,-28,-44,-36,,, ,,-30,-33.5,,,,0,0,,
,VS1,I,-47, ,41,0%,6,, , ,-43,122,-26,-42,-34,,, ,,0,-33.04166667,,,,0,0,,
,VS2,I,-47, ,65,17%,3,, ,203,-41,58,-27,-42,-34,,, ,,0,-30.68518519,,,,-33,0,,
,SI1,I,-47, ,61, ,5,, , , , ,-23,-49,-32,,, ,,-35.17,-38.42592593,,,,0,0,,
,SI2,I,-44, ,50,0%,7,, , ,-34,30,-24,-46,-32,,, ,,-35.825,-34.875,,,,0,-32,,
,IF,J,-48, ,43, ,0,, , , , ,-29,-42,-35,,, ,,0,0,,,,0,0,,
,VVS1,J,-48, ,49,9%,0,, ,65,-46,51,-31,-45,-36,,, ,,0,-33.25,,,,-36.5,-36,,
,VVS2,J,-48, ,54,0%,3,, , ,-45,80,-25,-46,-34,,, ,,-37.54,-30.66666667,,,,0,0,,
,VS1,J,-45, ,49,0%,0,, , ,-42,12,-25,-41,-35,,, ,,-29.63,-33.25,,,,0,0,,
,VS2,J,-45, ,57, ,1,, , , , ,-23,-42,-35,,, ,,0,-33,,,,0,0,,
,SI1,J,-44, ,63,0%,3,, , ,-44,68,-21,-45,-29,,, ,,-24.39,-37.42857143,,,,-45,0,,
,SI2,J,-44, ,71,0%,2,, , ,-44,64,-23,-42,-30,,, ,,-35.36666667,-35.23529412,,,,0,0,,
,IF,K,-47, ,42,0%,0,, , ,-45,45,-31,-45,-40.5,,, ,,0,0,,,,0,-41,,
,VVS1,K,-47, ,35,0%,0,, , ,-46,70,-30,-47,-37.5,,, ,,0,0,,,,0,-39,,
,VVS2,K,-46, ,38,10%,2,, ,95,-45,107,-23,-51,-33,,, ,,-37.70333333,-35.5,,,,0,-45,,
,VS1,K,-43, ,34,0%,1,, , ,-42,95,-23,-42,-32,,, ,,0,0,,,,0,-30,,
,VS2,K,-43, ,43,0%,2,, , ,-33,12,-20,-37,-30,,, ,,-30.095,0,,,,0,0,,
,SI1,K,-44, ,63, ,2,, , , , ,-21,-49,-32,,, ,,-37.94,0,,,,0,0,,
,SI2,K,-43, ,76,0%,1,, , ,-39,82,-23,-36,-25,,, ,,-37.79,-36.25,,,,0,-33,,
,IF,L,-46, ,44, ,0,, , , , ,-34,-38,-37,,, ,,0,0,,,,0,0,,
,VVS1,L,-47, ,49,0%,0,, , ,-49,43,-28,-44,-37,,, ,,0,0,,,,0,0,,
,VVS2,L,-46, ,51,0%,0,, , ,-44,77,-27,-44,-34,,, ,,0,-33.75,,,,0,0,,
,VS1,L,-47, ,74,0%,3,, , ,-46,66,-23,-39,-28,,, ,,-33.84,-30,,,,0,0,,
,VS2,L,-47, ,76,0%,1,, , ,-45,155,-26,-35,-28.5,,, ,,-40.735,0,,,,0,0,,
,SI1,L,-43, ,75, ,0,, , , , ,-22,-43,-27,,, ,,0,0,,,,0,0,,
,SI2,L,-44, ,76, ,1,, , , , ,-23,-40,-27,,, ,,0,0,,,,0,-39,,
,IF,M,-46, ,0, , ,, , , , ,-30,-43,-36.5,,, ,,0,0,,,,0,0,,
,VVS1,M,-47, ,0,0%, ,, , ,-49,102,-23,-53,-36,,, ,,0,0,,,,0,0,,
,VVS2,M,-47, ,0,0%, ,, , ,-44,123,-32,-43,-42.5,,, ,,0,0,,,,0,0,,
,VS1,M,-43, ,L,0%, ,, , ,-46,120,-23,-54,-28,,, ,,-48.45,0,,,,0,0,,
,VS2,M,-42, ,0, , ,, , ,-45, ,-27,-45,-33,,, ,,-39.09,0,,,,0,0,,
,SI1,M,-42, ,0,0%, ,, , , ,139,-22,-46,-25,,, ,,-34.37,0,,,,0,0,,
,SI2,M,-43, ,0, , ,, , , , ,-28,-39,-28,,, ,,0,-31,,,,0,0,,
0.30-0.34 VG FNT,IF,D,#REF!, ,66, ,0,, , , , ,-45,-58,-53,,, ,,0,-50.75,,,,0,-55,,
,VVS1,D,#REF!, ,47,0%,2,, , , ,7,-39,-49,-46,,, ,,0,-46.25,,,,0,0,,
,VVS2,D,#REF!, ,47,0%,15,, , ,-55,26,-36,-48,-45,,, ,,0,-45,,,,0,0,,
,VS1,D,#REF!, ,52,0%,10,, , , ,122,-33,-49,-43,,, ,,0,-41.75,,,,0,-44,,
,VS2,D,#REF!, ,70,0%,22,, , , ,98,-35,-48,-42,,, ,,-43,-41.575,,,,0,-45,,
,SI1,D,#REF!, ,53,0%,32,, , ,-53,35,-41,-48,-44,,, ,,-42.92,-40.67592593,,,,0,-42,,
,SI2,D,#REF!, ,47,0%,39,, , , ,201,-40,-48,-42,,, ,,-42.46,-41.25,,,,0,-40,,
,IF,E,#REF!, ,21, ,0,, , , , ,-41,-46,-42.5,,, ,,0,-41.5,,,,0,-46,,
,VVS1,E,#REF!, ,24,0%,0,, , , ,18,-27,-45,-44,,, ,,0,0,,,,0,0,,
,VVS2,E,#REF!, ,53,67%,4,, ,30,-42,82,-35,-47,-43,,, ,,-42.41,-40,,,,0,0,,
,VS1,E,#REF!, ,66,33%,8,, ,9, ,169,-34,-46,-43,,, ,,-38.89,-40.94642857,,,,-41,0,,
,VS2,E,#REF!, ,63,17%,19,, ,9, ,163,-34,-45,-42,,, ,,-43.45,-40.9375,,,,-45,0,,
,SI1,E,#REF!, ,58,0%,38,, , ,-54,82,-33,-48,-43,,, ,,0,-41.10714286,,,,0,-44,,
,SI2,E,#REF!, ,54,0%,20,, , , ,321,-39,-46,-41,,, ,,-44.82,-41.98214286,,,,0,-41,,
,IF,F,#REF!, ,27, ,0,, , , , ,-35,-44,-42,,, ,,0,0,,,,0,0,,
,VVS1,F,#REF!, ,30, ,1,, , , , ,-20,-45,-39,,, ,,-43.63,0,,,,0,0,,
,VVS2,F,#REF!, ,49,100%,8,, ,26, , ,-32,-45,-42,,, ,,-40.42,0,,,,0,0,,
,VS1,F,#REF!, ,63, ,6,, , , , ,-34,-44,-41,,, ,,-40.84,-40.1875,,,,-42,0,,
,VS2,F,#REF!, ,62,0%,21,, , , ,204,-34,-46,-41,,, ,,-36.98,-38.77173913,,,,-42.5,0,,
,SI1,F,#REF!, ,55,0%,34,, , ,-52,67,-22,-47,-41,,, ,,0,-39.39236111,,,,0,-43,,
,SI2,F,#REF!, ,55, ,14,, , , , ,-32,-46,-41,,, ,,-44.575,-40.11065574,,,,0,-40,,
,IF,G,#REF!, ,43,33%,0,, ,68, ,116,-43,-48,-43,,, ,,0,0,,,,0,0,,
,VVS1,G,#REF!, ,38,29%,0,, ,167,-50,155,-32,-48,-41,,, ,,-41.48,-38.5,,,,0,0,,
,VVS2,G,#REF!, ,64,25%,2,, ,153,-51,206,-33,-45,-41,,, ,,0,-38.16666667,,,,-41,0,,
,VS1,G,#REF!, ,63,29%,5,, ,38,-39,63,-30,-42,-39,,, ,,-38.37,-36.5,,,,-39.75,0,,
,VS2,G,#REF!, ,62,5%,9,, ,116,-39,67,-29,-43,-37,,, ,,-39.32,-36.61956522,,,,0,0,,
,SI1,G,#REF!, ,59,0%,18,, , , ,86,-38,-47,-39.5,,, ,,-43.93,-37.84042553,,,,-42,-39,,
,SI2,G,#REF!, ,64,0%,15,, , ,-49,54,-34,-46,-38,,, ,,-43.31,-37.30523256,,,,0,-36,,
,IF,H,#REF!, ,53,0%,0,, , , ,66,-36,-43,-42,,, ,,0,-35.5,,,,0,0,,
,VVS1,H,#REF!, ,62,0%,1,, , ,-52,102,-32,-46,-42,,, ,,0,-40.125,,,,0,-39,,
,VVS2,H,#REF!, ,64,67%,5,, ,152, ,156,-29,-44,-39,,, ,,-38.195,0,,,,0,-36,,
,VS1,H,#REF!, ,60,0%,7,, , ,-42,89,-30,-43,-34,,, ,,-35.86,0,,,,-33,0,,
,VS2,H,#REF!, ,62,0%,4,, , ,-39,40,-26,-42,-34,,, ,,-33,-31,,,,-39,0,,
,SI1,H,#REF!, ,56,0%,12,, , ,-42,165,-28,-44,-35,,, ,,-42.10666667,-36.39423077,,,,0,0,,
,SI2,H,#REF!, ,66, ,16,, , , , ,-15,-47,-34,,, ,,-40.1275,-33.74056604,,,,0,-32,,
,IF,I,#REF!, ,28, ,0,, , , , ,-34,-34,-34,,, ,,0,-34.25,,,,0,0,,
,VVS1,I,#REF!, ,41,33%,0,, ,167, ,70,-32,-45,-39,,, ,,-41.9,-35.05,,,,0,0,,
,VVS2,I,#REF!, ,42,0%,10,, , ,-51,52,-28,-47,-39,,, ,,0,-34.83333333,,,,-39,-40,,
,VS1,I,#REF!, ,41,0%,6,, , , ,122,-27,-44,-35,,, ,,0,-33.69444444,,,,0,-36,,
,VS2,I,#REF!, ,65,17%,3,, ,203,-42,58,-25,-43,-34,,, ,,-34.77,-31.16666667,,,,0,-39,,
,SI1,I,#REF!, ,61, ,5,, , ,-34, ,-29,-48,-37,,, ,,-37.18,-38.91964286,,,,-48,-34,,
,SI2,I,#REF!, ,50,0%,7,, , ,-48,30,-25,-42,-35,,, ,,0,-35.48880597,,,,0,0,,
,IF,J,#REF!, ,43, ,0,, , , , ,-29,-42,-38,,, ,,0,0,,,,0,0,,
,VVS1,J,#REF!, ,49,9%,0,, ,65,-51,51,-28,-41,-37,,, ,,0,-34.25,,,,0,0,,
,VVS2,J,#REF!, ,54,0%,3,, , , ,80,-27,-45,-35.5,,, ,,0,-32.18181818,,,,0,-37,,
,VS1,J,#REF!, ,49,0%,0,, , ,-49,12,-23,-43,-32,,, ,,0,-38.0625,,,,0,0,,
