SIZE,CL,CO,CU PR,chg%,RANK 3x non,S% 3EX,MFG 3EX,Pur PR 3X NON,SA PR 3X,SA DAY 3EX,CL ST PR 3X,CL DAY 3EX,Rap FR 3X,Rap TO 3X,Fast Mid,Moderate Mid,Slow Mid,CHG in rap qty,CHG in mid rap,HK,JB,Kiran,LAXMI,RATNKALA ,LAKHI,RAYS,CO DIFF,CL DIFF
,IF,K,#REF!, ,42,0%,0,, , , ,45,-29,-43,-41,,, ,-41,0,-36,,,,0,-39,,
,VVS1,K,#REF!, ,35,0%,0,,VG NON, ,-46,70,-35,-49,-38.5,,, ,-39,0,-34,,,,-47,-38,,
,VVS2,K,#REF!, ,38,10%,2,,D,95,-46,107,-20,-42,-33.5,,, ,-34,0,-35,,,,-36,0,,
,VS1,K,#REF!, ,34,0%,1,, , , ,95,-26,-43,-32,,, ,-32,-31,-32,,,,-33.33333333,-34,,
,VS2,K,#REF!, ,43,0%,2,, , , ,12,-22,-45,-34.5,,, ,-35,-31,-30,,,,0,0,,
,SI1,K,#REF!, ,63, ,2,, , , , ,-22,-45,-32,,, ,-32,-30,-36,,,,-36,0,,
,SI2,K,#REF!, ,76,0%,1,, , , ,82,-22,-43,-32,,, ,-32,0,-34,,,,0,-35,,
,IF,L,#REF!, ,44, ,0,, , , , ,-31,-39,-37,,, ,-37,0,0,,,,0,-40,,
,VVS1,L,#REF!, ,49,0%,0,, , ,-48,43,-28,-46,-37.5,,, ,-38,-42,-35,,,,-39.5,-42,,
,VVS2,L,#REF!, ,51,0%,0,, , ,-46,77,-26,-45,-31.5,,, ,-32,0,-36,,,,-35,0,,
,VS1,L,#REF!, ,74,0%,3,, , , ,66,-26,-43,-34.5,,, ,-35,-30,-33,,,,0,0,,
,VS2,L,#REF!, ,76,0%,1,, , , ,155,-27,-37,-29,,, ,-29,-30,-28,,,,0,0,,
,SI1,L,#REF!, ,75, ,0,, , , , ,-23,-43,-31.5,,, ,-32,0,-35,,,,-43,0,,
,SI2,L,#REF!, ,76, ,1,,VG NON, , , ,-27,-40,-30,,, ,-30,0,0,,,,0,0,,
,IF,M,#REF!, ,50, , ,,D, , , ,-31,-37,-34,,, ,-34,0,0,,,,0,0,,
